#  0. Epoch Time
#  1. Bz (nT), GSE
#  2. Flow Speed (km/s), GSE
#  3. Proton density (n/cc) (last currently-available OMNI plasma data Mar 08, 2018)
#
#EPOCH_TIME, BZ,_GSE FLOW_SPEED,_GSE PROTON_DENSITY
#dd-mm-yyyy hh:mm:ss           nT            km/s           n/cc
31-10-2012/07:02:00       2.54000         280.500        7.70000
31-10-2012/07:03:00       1.60000         280.100        7.40000
31-10-2012/07:04:00       1.24000         279.400        7.35000
31-10-2012/07:05:00     -0.480000         278.500        7.52000
31-10-2012/07:06:00      -3.41000         276.300        8.70000
31-10-2012/07:07:00      -3.32000         279.200        8.86000
31-10-2012/07:08:00      -2.74000         279.400        8.61000
31-10-2012/07:09:00      -2.48000         279.200        8.18000
31-10-2012/07:10:00      -2.00000         279.600        8.64000
31-10-2012/07:11:00     -0.930000         281.000        8.04000
31-10-2012/07:12:00      -2.30000         281.300        7.84000
31-10-2012/07:13:00      -1.43000         281.300        7.84000
31-10-2012/07:14:00      0.250000         279.600        8.05000
31-10-2012/07:15:00       2.93000         278.900        8.25000
31-10-2012/07:16:00       3.75000         280.500        7.98000
31-10-2012/07:17:00       3.73000         280.700        7.70000
31-10-2012/07:18:00       3.61000         279.200        8.00000
31-10-2012/07:19:00       2.48000         279.800        7.24000
31-10-2012/07:20:00       1.93000         280.000        7.02000
31-10-2012/07:21:00       1.74000         279.300        7.28000
31-10-2012/07:22:00       1.70000         276.400        7.40000
31-10-2012/07:23:00      0.500000         277.300        7.56000
31-10-2012/07:24:00      -1.09000         280.800        7.54000
31-10-2012/07:25:00     -0.870000         282.200        7.45000
31-10-2012/07:26:00     -0.320000         282.200        7.45000
31-10-2012/07:27:00     -0.830000         276.200        8.20000
31-10-2012/07:28:00      -1.35000         276.200        8.20000
31-10-2012/07:29:00     -0.910000         276.300        8.20000
31-10-2012/07:30:00      -1.14000         280.300        7.70000
31-10-2012/07:31:00      -1.36000         280.300        7.26000
31-10-2012/07:32:00      -1.96000         280.300        7.14000
31-10-2012/07:33:00      -2.11000         278.400        7.70000
31-10-2012/07:34:00      -2.35000         278.400        7.70000
31-10-2012/07:35:00      -2.43000         278.100        7.99000
31-10-2012/07:36:00      -2.02000         277.700        8.32000
31-10-2012/07:37:00      -1.75000         279.000        8.01000
31-10-2012/07:38:00      -1.95000         280.100        7.62000
31-10-2012/07:39:00      0.360000         282.100        7.12000
31-10-2012/07:40:00       1.13000         282.800        7.07000
31-10-2012/07:41:00      0.500000         282.100        8.02000
31-10-2012/07:42:00      0.440000         282.300        7.54000
31-10-2012/07:43:00      0.570000         283.200        7.55000
31-10-2012/07:44:00      0.600000         283.300        7.47000
31-10-2012/07:45:00      0.440000         281.300        7.94000
31-10-2012/07:46:00      0.760000         283.100        7.88000
31-10-2012/07:47:00       1.71000         281.600        8.26000
31-10-2012/07:48:00       1.81000         281.600        8.26000
31-10-2012/07:49:00       2.15000         281.800        7.36000
31-10-2012/07:50:00       1.30000         282.300        7.31000
31-10-2012/07:51:00     -0.130000         282.800        7.28000
31-10-2012/07:52:00      0.630000         282.500        7.91000
31-10-2012/07:53:00      0.580000         281.900        7.91000
31-10-2012/07:54:00      -1.69000         282.000        7.23000
31-10-2012/07:55:00      -2.17000         281.800        7.38000
31-10-2012/07:56:00      -2.08000         281.800        7.52000
31-10-2012/07:57:00      -2.65000         280.600        8.29000
31-10-2012/07:58:00      -2.71000         281.900        8.23000
31-10-2012/07:59:00      -2.79000         282.400        8.07000
31-10-2012/08:00:00      -2.87000             nan            nan
31-10-2012/08:01:00      -2.74000             nan            nan
31-10-2012/08:02:00      -2.84000         279.600        7.95000
31-10-2012/08:03:00      -3.00000         279.600        7.95000
31-10-2012/08:04:00      -3.02000         280.000        7.66000
31-10-2012/08:05:00      -2.58000         280.000        7.66000
31-10-2012/08:06:00      -1.46000         276.100        7.92000
31-10-2012/08:07:00      -2.38000         276.500        7.87000
31-10-2012/08:08:00      -2.51000         278.500        7.79000
